product_name,quantity,selling_price,total_sales,brand_name,company,category_name,subcategory_name,bill_date,latitude,longitude,country,bill_ID
PARLE 20-20 CASHEW,4.0,4.75,19.0,PARLE 20-20,PARLE PRODS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,39.09736789,-94.58247425,Missouri,4
SUNFEAST DARK FANTSY CHOCOFILS,4.0,29.0,116.0,SUNFEAST DARK FANTASY,I T C,BISCUITS - CORE & NON CORE,CREAM,2020-01-01,39.09736789,-94.58247425,Missouri,4
SURF EXCEL EASY WASH,1.0,110.0,110.0,SURF,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,39.09736789,-94.58247425,Missouri,4
WHISPER ULTRA CLEAN,1.0,28.0,28.0,WHISPER ULTRA,PROCTER & GAMBLE,SANITARY NAPKINS,SANITARY NAPKINS,2020-01-01,39.09736789,-94.58247425,Missouri,4
GOOD KNIGHT ACTIV+,1.0,70.0,70.0,GOOD KNIGHT,GODREJ CONSUMER PRODS,MOSQUITO REPELLANTS CTG ,LIQUID VAPORISER,2020-01-01,39.05705036,-94.60563781,Missouri,5
PALMOLIVE NATURALS,2.0,120.0,240.0,PALMOLIVE,COLGATE-PALMOLIVE,LIQUID TOILET SOAPS  ,HAND WASH,2020-01-01,39.05705036,-94.60563781,Missouri,5
KITKAT,6.0,25.0,150.0,KIT KAT,NESTLE INDIA,CHOCOLATE,COATED WAFER BISC,2020-01-01,39.195494700000005,-94.5799939,Missouri,6
TIDE JASMINE ROSE,1.0,45.0,45.0,TIDE,PROCTER & GAMBLE,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,39.195494700000005,-94.5799939,Missouri,6
VASELINE HEALTHY WHITE SPF 24,1.0,96.0,96.0,VASELINE,HINDUSTAN UNILEVER LIMITED,SKIN CREAMS,MOIST  LTN/CREAM,2020-01-01,39.195494700000005,-94.5799939,Missouri,6
VITA MARIE GOLD,1.0,20.0,20.0,MARIE GOLD,BRITANNIA INDS,BISCUITS - CORE & NON CORE,MARIE,2020-01-01,39.195494700000005,-94.5799939,Missouri,6
WHEEL GREEN,1.0,27.0,27.0,WHEEL,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,39.195494700000005,-94.5799939,Missouri,6
CINTHOL DEO,1.0,73.0,73.0,CINTHOL,GODREJ CONSUMER PRODS,TOILET SOAPS ,PREMIUM,2020-01-01,39.04657541,-94.44696199,Missouri,7
COLIN,1.0,54.0,54.0,COLIN,RECKITT BENCKISER,CLEANERS - GLASS,LIQUIDS,2020-01-01,39.04657541,-94.44696199,Missouri,7
COMFORT PINK - LILY FRESH,1.0,54.0,54.0,COMFORT,HINDUSTAN UNILEVER LIMITED,PRE-POST WASH PRODUCTS,FABRIC SOFTNERS,2020-01-01,39.04657541,-94.44696199,Missouri,7
FUN FOODS,1.0,0.0,0.0,FUN FOODS,DR OETKER INDIA PVT LTD,KETCHUPS/SAUCES,KETCHUPS/SAUCES,2020-01-01,39.04657541,-94.44696199,Missouri,7
PONDS SANDAL,1.0,92.0,92.0,POND'S,HINDUSTAN UNILEVER LIMITED,TALCUM POWDERS,TALCUM POWDERS,2020-01-01,39.04657541,-94.44696199,Missouri,7
SURF EXCEL QUICK WASH,3.0,180.0,540.0,SURF,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,39.04657541,-94.44696199,Missouri,7
WHISPER CHOICE ULTRA,1.0,38.0,38.0,WHISPER CHOICE,PROCTER & GAMBLE,SANITARY NAPKINS,SANITARY NAPKINS,2020-01-01,39.04657541,-94.44696199,Missouri,7
EVEREST,1.0,27.0,27.0,EVEREST,S NARENDRA KUMAR,SPICES ,PURE,2020-01-01,40.7329583,-73.9808002,New York,8
EVEREST,1.0,80.0,80.0,EVEREST,S NARENDRA KUMAR,SPICES ,PURE,2020-01-01,40.7329583,-73.9808002,New York,8
HARPIC,1.0,80.0,80.0,HARPIC,RECKITT BENCKISER,CLEANERS - FLOOR,LIQUIDS,2020-01-01,40.7329583,-73.9808002,New York,8
KISSAN FRESH KETCHUP,1.0,125.0,125.0,KISSAN,HINDUSTAN UNILEVER LIMITED,KETCHUPS/SAUCES,KETCHUPS/SAUCES,2020-01-01,40.7329583,-73.9808002,New York,8
MAGGI MASALA,2.0,12.0,,MAGGI,NESTLE INDIA,VERMICELLI & NOODLE,INSTANT NOODLES,2020-01-01,40.7329583,-73.9808002,New York,8
SOCIETY LEAF,1.0,108.0,108.0,SOCIETY,HASMUKHRAI & CO,PACKAGED TEA,MAIN PACKS,2020-01-01,40.7329583,-73.9808002,New York,8
BRITANNIA,1.0,50.0,50.0,BRITANNIA,BRITANNIA INDS,BUTTER MARGR  ,BUTTER,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
BROOKE BOND TAJ MAHAL TEA BAGS,1.0,136.0,136.0,TAJ MAHAL,HINDUSTAN UNILEVER LIMITED,PACKAGED TEA,MAIN PACKS,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
DAIRY MILK,1.0,10.0,10.0,CADBURY DAIRY MILK,MONDELEZ INTERNATIONAL,CHOCOLATE,MOULDED,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
HALDIRAM SEV BHUJIA,1.0,10.0,10.0,HALDIRAM,HALDIRAM,SALTY SNACKS ,SEV BHUJIA,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
KELLOGG'S KPAK CHOCOS DISCOVRY,1.0,10.0,10.0,KELLOGG'S KPAK,KELLOGG'S INDIA,BREAKFAST CEREALS,READY TO EAT CEREALS,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
NESCAFE CLASSIC,1.0,68.0,68.0,NESCAFE,NESTLE INDIA,COFFEE,INSTANT COFFEE,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
TOO YUMM MULTIGRAIN CHIPS,1.0,10.0,10.0,TOO YUMM,GUILTFREE INDUSTRIES,SALTY SNACKS ,EXTRUDED SNACKS,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
VIM,1.0,29.0,29.0,VIM,HINDUSTAN UNILEVER LIMITED,CLEANERS - UTENSIL,TRADITIONAL,2020-01-01,39.173567600000005,-94.5355574,Missouri,9
AASHIRVAAD WHOLE WHEAT,1.0,98.0,98.0,AASHIRVAAD,I T C,PACKAGED ATTA ,ATTA,2020-01-01,39.03890503,-94.58687934,Missouri,10
BROOKE BOND TAJ MAHAL TEA BAGS,1.0,50.0,50.0,TAJ MAHAL,HINDUSTAN UNILEVER LIMITED,PACKAGED TEA,MAIN PACKS,2020-01-01,39.03890503,-94.58687934,Missouri,10
CINTHOL ORIGINAL,1.0,35.0,35.0,CINTHOL,GODREJ CONSUMER PRODS,TOILET SOAPS ,POPULAR,2020-01-01,39.03890503,-94.58687934,Missouri,10
DAIRY MILK,2.0,5.0,10.0,CADBURY DAIRY MILK,MONDELEZ INTERNATIONAL,CHOCOLATE,MOULDED,2020-01-01,39.03890503,-94.58687934,Missouri,10
DAIRY MILK CRISPELLO,1.0,30.0,30.0,CADBURY DAIRY MILK,MONDELEZ INTERNATIONAL,CHOCOLATE,MOULDED,2020-01-01,39.03890503,-94.58687934,Missouri,10
EVEREST,1.0,27.0,27.0,EVEREST,S NARENDRA KUMAR,SPICES ,PURE,2020-01-01,39.03890503,-94.58687934,Missouri,10
KOHINOOR,1.0,180.0,180.0,KOHINOOR,KOHINOOR SPECIALITY FOOD INDIA,PACKAGED RICE ,BASMATI RICE,2020-01-01,39.03890503,-94.58687934,Missouri,10
MAGGI MASALA,2.0,11.5,,MAGGI,NESTLE INDIA,VERMICELLI & NOODLE,INSTANT NOODLES,2020-01-01,39.03890503,-94.58687934,Missouri,10
MEDIMIX AYURVEDIC,1.0,135.0,135.0,MEDIMIX,CHOLAYIL PVT LTD,TOILET SOAPS ,PREMIUM,2020-01-01,39.03890503,-94.58687934,Missouri,10
MESWAK,1.0,48.0,48.0,MESWAK,DABUR,TOOTH PASTES,TOOTH PASTES,2020-01-01,39.03890503,-94.58687934,Missouri,10
NESCAFE CLASSIC,1.0,130.0,130.0,NESCAFE,NESTLE INDIA,COFFEE,INSTANT COFFEE,2020-01-01,39.03890503,-94.58687934,Missouri,10
TATA SALT,1.0,19.0,19.0,TATA,TATA CHEM,ALL IODISED SALT,POWDERED SALT,2020-01-01,39.03890503,-94.58687934,Missouri,10
UTTAM,1.0,20.0,20.0,UTTAM,SHRI BHAGAWATI FOODS,PACKAGED ATTA ,MAIDA,2020-01-01,39.03890503,-94.58687934,Missouri,10
50-50 MSK CK,2.0,9.5,19.0,50-50,BRITANNIA INDS,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,2020-01-01,40.75232405,-73.99432821,New York,11
BLACK ROSE KALI MEHANDI,2.0,12.0,24.0,BLACK ROSE,HENNA INDUSTRIES PVT LTD,HAIR DYES     ,HAIR DYES     (1/76),2020-01-01,40.75232405,-73.99432821,New York,11
GOOD DAY CASHEW,1.0,39.0,39.0,GOOD DAY,BRITANNIA INDS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,40.75232405,-73.99432821,New York,11
MARIE GOLD REGULAR,1.0,27.0,27.0,MARIE GOLD,BRITANNIA INDS,BISCUITS - CORE & NON CORE,MARIE,2020-01-01,40.75232405,-73.99432821,New York,11
NICE TIME,1.0,24.0,24.0,NICE TIME,BRITANNIA INDS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,40.75232405,-73.99432821,New York,11
RIN,1.0,73.0,73.0,RIN,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,40.75232405,-73.99432821,New York,11
TATA AGNI EXTRA STRONG LEAVES,1.0,55.0,55.0,TATA AGNI,TATA GLOBAL BEVERAGES LTD,PACKAGED TEA,MAIN PACKS,2020-01-01,40.75232405,-73.99432821,New York,11
CYCLE SANDALUM,4.0,50.0,200.0,CYCLE,N RANGA RAO & SONS,AGARBATTI & DHOOPBATTI,AGARBATTI,2020-01-01,38.99232773,-94.59544315,Missouri,12
EVEREST,1.0,34.0,34.0,EVEREST,K C J & CO,SPICES ,BLENDED,2020-01-01,38.99232773,-94.59544315,Missouri,12
EVEREST,1.0,35.0,35.0,EVEREST,S NARENDRA KUMAR,SPICES ,BLENDED,2020-01-01,38.99232773,-94.59544315,Missouri,12
EVERYDAY DAIRY WHITNER,1.0,95.0,95.0,EVERYDAY,NESTLE INDIA,MILK POWDERS,DAIRY WHITNERS,2020-01-01,38.99232773,-94.59544315,Missouri,12
HAPPY HAPPY,2.0,9.75,19.5,PARLE HAPPY HAPPY,PARLE PRODS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,38.99232773,-94.59544315,Missouri,12
PITAMBARI,2.0,42.0,84.0,PITAMBARI,PITAMBARI PRODS,CLEANERS - UTENSIL,SPECIALIZED,2020-01-01,38.99232773,-94.59544315,Missouri,12
TATA SALT,2.0,19.0,38.0,TATA,TATA CHEM,ALL IODISED SALT,POWDERED SALT,2020-01-01,38.99232773,-94.59544315,Missouri,12
VANDEVI,1.0,58.0,58.0,VANDEVI,V N THAKKAR,SPICES ,PURE,2020-01-01,38.99232773,-94.59544315,Missouri,12
GOOD DAY CASHEW,2.0,19.5,39.0,GOOD DAY,BRITANNIA INDS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,39.20955724,-94.64581918,Missouri,13
HIT LIME,1.0,182.0,182.0,HIT,GODREJ CONSUMER PRODS,HOME INSECTICIDES CTG  ,AEROSOL,2020-01-01,39.20955724,-94.64581918,Missouri,13
RIN,1.0,60.0,60.0,RIN,HINDUSTAN UNILEVER LIMITED,PRE-POST WASH PRODUCTS,LIQUID BLEACHES,2020-01-01,39.20955724,-94.64581918,Missouri,13
SAGAR,1.0,445.0,445.0,SAGAR,G C M M F,PACKAGED PURE GHEE,PACKAGED PURE GHEE,2020-01-01,39.20955724,-94.64581918,Missouri,13
SUNFEAST BOUNCE DRM CHO VNL,2.0,10.0,20.0,SUNFEAST BOUNCE,I T C,BISCUITS - CORE & NON CORE,CREAM,2020-01-01,39.20955724,-94.64581918,Missouri,13
BAJAJ ALMOND DROP,1.0,260.0,260.0,BAJAJ ALMOND DROP,BAJAJ CORP LTD.,HAIR OILS PKTP,RIGID,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
GOOD DAY CASHEW,1.0,9.5,9.5,GOOD DAY,BRITANNIA INDS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
HIDE & SEEK CHOCOLATE CHIP,1.0,30.0,30.0,PARLE HIDE & SEEK,PARLE PRODS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
MARIE GOLD REGULAR,1.0,27.0,27.0,MARIE GOLD,BRITANNIA INDS,BISCUITS - CORE & NON CORE,MARIE,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
NESCAFE CLASSIC,4.0,130.0,520.0,NESCAFE,NESTLE INDIA,COFFEE,INSTANT COFFEE,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
SOCIETY LEAF,5.0,220.0,1100.0,SOCIETY,HASMUKHRAI & CO,PACKAGED TEA,MAIN PACKS,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
UJALA SUPREME,1.0,65.0,65.0,UJALA,JYOTHY LABORATORIES,BLUES,LIQUID BLUES,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
YELLOW DIAMOND WHEELS,2.0,5.0,10.0,YELLOW DIAMOND,PRATAAP SNACKS PVT LTD,SALTY SNACKS ,EXTRUDED SNACKS,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
YELLOW DIAMOND WHEELS,4.0,5.0,20.0,YELLOW DIAMOND,PRATAAP SNACKS PVT LTD,SALTY SNACKS ,EXTRUDED SNACKS,2020-01-01,39.2531169,-94.65397359999999,Missouri,14
ARIEL FRONT LOAD,1.0,219.0,219.0,ARIEL,PROCTER & GAMBLE,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,39.24772722,-94.46593684,Missouri,15
TRESEMME,10.0,3.0,30.0,TRESEMME,HINDUSTAN UNILEVER LIMITED,SHAMPOO - BY SEGMENTS,SACHETS,2020-01-01,39.24772722,-94.46593684,Missouri,15
WHEEL ACTIVE,3.0,9.5,28.5,WHEEL,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,39.24772722,-94.46593684,Missouri,15
BRITANNIA BOURBON,30.0,10.0,300.0,BRITANNIA BOURBON,BRITANNIA INDS,BISCUITS - CORE & NON CORE,CREAM,2020-01-01,40.757492,-73.974354,New York,16
CATCH,2.0,64.0,128.0,CATCH,DHARAMPAL SATYAPAL,SPICES ,PURE,2020-01-01,40.757492,-73.974354,New York,16
DALDA,2.0,125.0,250.0,DALDA,BUNGE INDIA PRIVATE LIMITED,VANASPATI CONS PACK ,VANASPATI CONS PACK (8/94),2020-01-01,40.757492,-73.974354,New York,16
EXO SAFAI,2.0,15.0,30.0,EXO,JYOTHY LABORATORIES,SCOURING PADS/SCRUBS,STEEL SCRUB,2020-01-01,40.757492,-73.974354,New York,16
GOLDEN OREO,2.0,10.0,20.0,OREO,MONDELEZ INTERNATIONAL,BISCUITS - CORE & NON CORE,CREAM,2020-01-01,40.757492,-73.974354,New York,16
HARPIC FRESH CITRUS,1.0,82.0,82.0,HARPIC FRESH,RECKITT BENCKISER,CLEANERS - TOILET,LIQUIDS,2020-01-01,40.757492,-73.974354,New York,16
HARPIC POWER PLUS,1.0,82.0,82.0,HARPIC POWER,RECKITT BENCKISER,CLEANERS - TOILET,LIQUIDS,2020-01-01,40.757492,-73.974354,New York,16
KISSAN,1.0,135.0,135.0,KISSAN,HINDUSTAN UNILEVER LIMITED,JAMS/JELLY/MARMALADES-CTG,JAMS,2020-01-01,40.757492,-73.974354,New York,16
LIZOL DISINFECT FLR CLNR,1.0,89.0,89.0,LIZOL,RECKITT BENCKISER,CLEANERS - FLOOR,LIQUIDS,2020-01-01,40.757492,-73.974354,New York,16
MAGGI MASALA,1.0,45.0,45.0,MAGGI,NESTLE INDIA,VERMICELLI & NOODLE,INSTANT NOODLES,2020-01-01,40.757492,-73.974354,New York,16
MAGGI MASALA,5.0,12.0,60.0,MAGGI,NESTLE INDIA,VERMICELLI & NOODLE,INSTANT NOODLES,2020-01-01,40.757492,-73.974354,New York,16
NATIONAL,2.0,45.0,90.0,NATIONAL,NATIONAL PRODUCT,SALTY SNACKS ,BANANA CHIPS/LACHA/OTHERS,2020-01-01,40.757492,-73.974354,New York,16
RIN,4.0,60.0,240.0,RIN,HINDUSTAN UNILEVER LIMITED,PRE-POST WASH PRODUCTS,LIQUID BLEACHES,2020-01-01,40.757492,-73.974354,New York,16
VIM,2.0,30.0,60.0,VIM,HINDUSTAN UNILEVER LIMITED,CLEANERS - UTENSIL,TRADITIONAL,2020-01-01,40.757492,-73.974354,New York,16
WHEEL ACTIVE,3.0,53.0,159.0,WHEEL,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,40.757492,-73.974354,New York,16
WHEEL ACTIVE,8.0,10.0,80.0,WHEEL,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,40.757492,-73.974354,New York,16
50-50 MSK CK,4.0,10.0,40.0,50-50,BRITANNIA INDS,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,2020-01-01,40.71070271,-74.01636963,New York,17
BABOOL,1.0,95.0,95.0,BABOOL,DABUR,TOOTH PASTES,TOOTH PASTES,2020-01-01,40.71070271,-74.01636963,New York,17
GOWARDHAN,1.0,249.0,249.0,GOWARDHAN,PARAG MILK FOODS PVT. LTD.,PACKAGED PURE GHEE,PACKAGED PURE GHEE,2020-01-01,40.71070271,-74.01636963,New York,17
KISMI BAR,2.0,2.0,4.0,PARLE KISMI BAR,PARLE PRODS,CONFECTIONERY - TOFFEE/HBC,TOFFEES,2020-01-01,40.71070271,-74.01636963,New York,17
LIFEBUOY LEMON FRESH,2.0,27.5,55.0,LIFEBUOY,HINDUSTAN UNILEVER LIMITED,TOILET SOAPS ,POPULAR,2020-01-01,40.71070271,-74.01636963,New York,17
NUTRICHOICE DIGESTIVE,6.0,19.0,114.0,NUTRICHOICE,BRITANNIA INDS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,40.71070271,-74.01636963,New York,17
RIN,1.0,37.0,37.0,RIN,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,40.71070271,-74.01636963,New York,17
RIN ADVANCED,6.0,4.75,28.5,RIN,HINDUSTAN UNILEVER LIMITED,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,2020-01-01,40.71070271,-74.01636963,New York,17
SOCIETY LEAF,1.0,108.0,108.0,SOCIETY,HASMUKHRAI & CO,PACKAGED TEA,MAIN PACKS,2020-01-01,40.71070271,-74.01636963,New York,17
WHEEL OK ACTIVE,6.0,11.5,69.0,WHEEL,HINDUSTAN UNILEVER LIMITED,SOAP CAKES/BARS,SOAP CAKES/BARS,2020-01-01,40.71070271,-74.01636963,New York,17
EVEREST,1.0,29.0,29.0,EVEREST,S NARENDRA KUMAR,SPICES ,PURE,2020-01-01,38.56253977,-90.40729036,Missouri,18
GOOD KNIGHT ACTIV+,1.0,70.0,70.0,GOOD KNIGHT,GODREJ CONSUMER PRODS,MOSQUITO REPELLANTS CTG ,LIQUID VAPORISER,2020-01-01,38.56253977,-90.40729036,Missouri,18
HORLICKS WOMEN,1.0,295.0,295.0,HORLICKS,GLAXO SMITHKLINE,BEVERAGES,WHITE POWDERS,2020-01-01,38.56253977,-90.40729036,Missouri,18
KISSAN,1.0,28.5,28.5,KISSAN,HINDUSTAN UNILEVER LIMITED,JAMS/JELLY/MARMALADES-CTG,JAMS,2020-01-01,38.56253977,-90.40729036,Missouri,18
PARACHUTE,1.0,250.0,250.0,PARACHUTE,MARICO INDS,COCONUT OIL PKTYP ,BRANDED,2020-01-01,38.56253977,-90.40729036,Missouri,18
SURF EXCEL EASY WASH,1.0,55.0,55.0,SURF,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,38.56253977,-90.40729036,Missouri,18
TATA SALT,2.0,19.0,38.0,TATA,TATA CHEM,ALL IODISED SALT,POWDERED SALT,2020-01-01,38.56253977,-90.40729036,Missouri,18
WHEEL ACTIVE,2.0,9.75,19.5,WHEEL,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,38.56253977,-90.40729036,Missouri,18
